indicx,no_cidade
"78.17","Candói"
"65.78","Carmésia"
"71.55","Balneário Pinhal"
"88.46","Salmourão"
"69.23","Mariano Moro"
"50.00","Dom Expedito Lopes"
"45.80","Cajueiro"
"67.85","Wenceslau Braz"
"40.71","Machadinho D'Oeste"
"78.34","Jaraguá do Sul"
"40.22","Buriti do Tocantins"
"31.48","Jericó"
"29.68","Rio Sono"
"70.62","Querência do Norte"
"84.43","Tijucas do Sul"
"74.35","Viadutos"
"73.26","Coronel Bicaco"
"87.09","Pontes Gestal"
"79.53","Nepomuceno"
"27.52","Governador Newton Bello"
"89.93","Tatuí"
"87.50","Flórida"
"77.37","Guiratinga"
"81.17","Pontalina"
"70.96","Taciba"
"49.45","Cascavel"
"61.66","Gravatá"
"92.30","Charqueada"
"25.60","Colares"
"63.80","Santa Cruz"
"74.82","Bom Retiro do Sul"
"39.23","Ipojuca"
"16.39","Acará"
"41.30","Cachoeirinha"
"38.80","Agricolândia"
"73.21","Acorizal"
"44.11","Divina Pastora"
"28.42","Luís Domingues"
"48.71","Piraquê"
"77.64","Salete"
"50.00","São Vicente Ferrer"
"64.78","Lupionópolis"
"46.80","Coronel Murta"
"85.29","Natércia"
"61.66","Riacho da Cruz"
"50.00","Iraí"
"14.59","Sítio Novo"
"56.16","Campo Alegre do Fidalgo"
"64.00","Capim Branco"
"82.02","Manhumirim"
"60.19","Cedro"
"87.50","Elisiário"
"27.63","Itororó"
"69.13","Cachoeira do Sul"
"82.65","Restinga Seca"
"14.60","Brejo dos Santos"
"57.74","Meruoca"
"88.13","Santo Antônio do Jardim"
"68.47","Guarantã do Norte"
"54.34","Natal"
"76.99","Mendes"
"60.60","Muitos Capões"
"94.87","José da Penha"
"76.00","Colorado"
"75.55","Carmo do Rio Verde"
"30.14","Querência"
"49.95","Juruti"
"73.48","Abelardo Luz"
"76.84","Elói Mendes"
"20.31","Santa Luzia"
"92.43","Cianorte"
"44.61","Jardim Alegre"
"81.25","Joviânia"
"56.16","Souto Soares"
"88.54","Juranda"
"55.63","Angelim"
"78.57","Turvânia"
"73.23","Malhador"
"42.46","Maracajá"
"88.53","Guimarães"
"81.81","Bonfim"
"95.12","Lobato"
"43.29","Águas Lindas de Goiás"
"63.52","Novo Oriente do Piauí"
"80.46","Conceição da Aparecida"
"52.25","Planalto"
"78.57","Virgolândia"
"84.00","Arambaré"
"59.68","Piranhas"
"53.84","Amparo de São Francisco"
"42.78","Igarassu"
"44.68","Prudente de Morais"
"46.55","Brasilândia de Minas"
"83.77","Vera Cruz"
"41.26","São Pedro do Piauí"
"53.33","Jurema"
"88.99","Itapeva"
"32.25","Manacapuru"
"17.63","Boca do Acre"
"17.52","Lábrea"
"48.03","Porto"
"73.40","Rio do Sul"
"84.14","Jaguaretama"
"50.89","Pentecoste"
"74.80","Santa Maria de Itabira"
"74.09","Abaeté"
"30.32","Nordestina"
"44.59","Iúna"
"92.00","Santana do Itararé"
"21.66","Maranhãozinho"
"70.40","Guaramirim"
"90.00","Campo Bonito"
"76.47","Santa Mariana"
"26.74","Francinópolis"
"73.21","Pirajuba"
"33.91","Miracema do Tocantins"
"72.94","Ibiracatu"
"94.73","Cafelândia"
"22.02","Laje"
"69.60","Bom Sucesso"
"90.47","Marzagão"
"100.00","Trabiju"
"66.17","Passa Tempo"
"79.15","São Leopoldo"
"92.35","Nova Petrópolis"
"55.17","Meridiano"
"45.94","Guarani de Goiás"
"73.50","Quirinópolis"
"30.46","Maxaranguape"
"61.53","Leandro Ferreira"
"43.83","Barras"
"54.09","João Pinheiro"
"9.68","São João do Soter"
"56.87","Água Doce do Norte"
"19.45","Nhamundá"
"67.14","São Gonçalo do Amarante"
"25.77","Jussari"
"76.99","Catanduvas"
"67.22","Santa Branca"
"51.16","Livramento"
"68.18","Soledade de Minas"
"86.63","Concórdia"
"85.96","Witmarsum"
"90.11","Sertanópolis"
"55.35","Dona Eusébia"
"82.38","Guaraniaçu"
"49.15","Tanhaçu"
"79.16","Barra de Santa Rosa"
"93.68","Pirajuí"
"33.33","Pé de Serra"
"65.01","Nova Olinda"
"48.35","Senhor do Bonfim"
"25.83","São João dos Patos"
"50.94","Formoso"
"74.02","Paramirim"
"80.27","Ribeirópolis"
"83.07","São Francisco de Itabapoana"
"66.79","Barreiras"
"88.88","Santa Helena"
"42.85","Caiçara do Norte"
"93.10","Abadia dos Dourados"
"74.23","Alcântaras"
"34.51","Balneário Arroio do Silva"
"66.38","Barra de Santana"
"85.63","Itarema"
"100.00","São Pedro do Butiá"
"42.52","Riachão das Neves"
"24.05","Bragança"
"69.81","Itaverava"
"9.16","Satubinha"
"80.76","Santa Isabel"
"27.41","Nossa Senhora dos Remédios"
"92.85","Colinas"
"21.91","Santa Cruz do Arari"
"54.99","Carpina"
"24.34","Vera Cruz"
"96.00","Dolcinópolis"
"61.79","Maravilhas"
"45.72","Correntes"
"86.71","Joanópolis"
"87.23","Buritizal"
"77.71","São Lourenço"
"42.42","Brasilândia do Tocantins"
"29.41","Dom Inocêncio"
"27.65","Belo Monte"
"56.70","Paranavaí"
"31.25","Buritirama"
"81.44","Erval Seco"
"52.00","Rio Largo"
"16.93","Capitão Poço"
"54.63","Alto Paraíso de Goiás"
"58.33","Santo André"
"55.26","Ubaporanga"
"29.26","Canavieira"
"85.18","Jacuizinho"
"40.29","Alegrete do Piauí"
"30.00","Poço Branco"
"56.61","Chapada do Norte"
"64.83","São Mamede"
"82.04","Batatais"
"44.00","Lagoa Salgada"
"47.77","São João de Meriti"
"81.31","Senador Amaral"
"58.10","Pai Pedro"
"22.27","Aveiro"
